Description,TotalSalesDollars,ProfitMargin,IsTargetBrand,LowSalesThreshold,HighMarginThreshold
Amrut Fusion Single Malt,5384.19,90.64297508074566,False,560.146,64.9299097086893
AnCnoc 12 Yr Old Scotch,58483.83,26.58893919909143,False,560.146,64.9299097086893
Anakota 11 Helena Montana CS,1919.76,18.351773138308953,False,560.146,64.9299097086893
Anakota Cab Svgn Helena Dako,1359.83,37.809137906944244,False,560.146,64.9299097086893
Anarkos Puglia,299.76,66.21297037630104,True,560.146,64.9299097086893
Anastasi Estates Messinia Rd,323.73,85.28403299045502,True,560.146,64.9299097086893
Ancho Reyes Chile Liqueur,11224.73,63.24953918713412,False,560.146,64.9299097086893
Anderra Cab Svgn,4374.21,45.415515030142586,False,560.146,64.9299097086893
Anderra Carmenere,107.88,32.92547274749722,False,560.146,64.9299097086893
Anderra Svgn Bl,5655.8,39.36224760422928,False,560.146,64.9299097086893
Andre Bourgogne Pnt Nr RSV,12986.039999999999,27.01277679723765,False,560.146,64.9299097086893
Andre Brut,140239.79,34.78833646285409,False,560.146,64.9299097086893
Andre Cold Duck,15360.84,35.464987591824396,False,560.146,64.9299097086893
Andre Extra Dry,244003.85,42.761558885238905,False,560.146,64.9299097086893
Andre Moscato,558.04,23.44634793204788,False,560.146,64.9299097086893
Andre Pink,52191.44,35.95608781823228,False,560.146,64.9299097086893
Andre Pink Moscato,240.58,20.093108321556237,False,560.146,64.9299097086893
Andre Spumante Calif,2295.15,34.048754983334426,False,560.146,64.9299097086893
Andrew Will Two Blondes WA,803.88,33.333333333333336,False,560.146,64.9299097086893
AnestasiA Vodka,7990.389999999999,68.47212714273019,False,560.146,64.9299097086893
Anew Rose,14112.27,26.6682114216919,False,560.146,64.9299097086893
Anew Rsl,13142.64,37.65255686833086,False,560.146,64.9299097086893
Angel's Envy Rye,34475.689999999995,50.40505353192351,False,560.146,64.9299097086893
Angela Yamhill-Carlton Pnt N,1072.71,19.389210504236935,False,560.146,64.9299097086893
Angeline Chard Cal,217.76,18.497428361498898,False,560.146,64.9299097086893
Angeline Chard RRV,22166.09,65.4492064229641,False,560.146,64.9299097086893
Angeline Pnt Nr,223629.58000000002,42.54602633515656,False,560.146,64.9299097086893
Angeline Pnt Nr Rsv,190470.9,39.7738552188287,False,560.146,64.9299097086893
Angeline Rsv Cab Svgn,20447.39,51.45355959856002,False,560.146,64.9299097086893
Angeline Svgn Bl RRV,255.14999999999998,34.15637860082304,False,560.146,64.9299097086893
Angelini Pnt Grigio Veneto,58661.03,31.33772114127556,False,560.146,64.9299097086893
Angelini Pnt Nr Veneto,31536.690000000002,38.29587061926919,False,560.146,64.9299097086893
Angelini Sangiovese Pesaresi,1888.81,38.052530429212034,False,560.146,64.9299097086893
Angels & Cowboys Rose,12087.36,32.06084703359542,False,560.146,64.9299097086893
Angels Envy Hanover Chop,275.94,23.070232659273753,False,560.146,64.9299097086893
Angels Envy Whiskey,160767.84,24.32908223435732,False,560.146,64.9299097086893
Angels Landing Cab Svgn,4817.59,22.404355704823374,False,560.146,64.9299097086893
Angoves Nine Vines Moscato,395.67,2.289786943665176,False,560.146,64.9299097086893
Anna de Codorniu Brut Cava,20522.89,28.758279170233823,False,560.146,64.9299097086893
Anna de Codorniu Brut Rose,191.88,34.64665415884928,False,560.146,64.9299097086893
Annabella Cab Svgn Napa,1039.35,24.60095251840092,False,560.146,64.9299097086893
Anne Amie Pnt Nr,23639.89,27.466159952520936,False,560.146,64.9299097086893
Antech Limoux Brut,1618.65,0.9174311926605588,False,560.146,64.9299097086893
Anterra Chardonnay,4634.2,91.84325234128869,False,560.146,64.9299097086893
Anthology Conn Crk Cab Napa,4164.9400000000005,23.311020086723943,False,560.146,64.9299097086893
Antica Cab Svgn Napa Valley,2791.4,21.007379809414633,False,560.146,64.9299097086893
Antica Chard Napa Valley,1193.62,31.12380824718084,False,560.146,64.9299097086893
Antica Fratta Franciacorta B,6680.38,44.51872498271057,False,560.146,64.9299097086893
Antico Colle Chianti Colli,263.76,33.75796178343949,False,560.146,64.9299097086893
Antico Colle Rosso di Montep,11538.45,34.922541589208265,False,560.146,64.9299097086893
Antigal Uno Cab Mendza,782.52,72.64478863160048,False,560.146,64.9299097086893
Antigal Uno Malbec Mendoza,41807.119999999995,27.807033825817225,False,560.146,64.9299097086893
Antinori Badia Chianti Clsc,455.88000000000005,28.737825743616746,False,560.146,64.9299097086893
Antinori Bolgheri Guado,5948.39,56.80242889252386,False,560.146,64.9299097086893
Antinori Brnllo Mntlcno Pain,1413.74,50.89196033216857,False,560.146,64.9299097086893
Antinori Cervaro della Salla,271.92,37.65813474551339,False,560.146,64.9299097086893
Antinori Chianti Clsc Pepoli,10940.35,43.461498032512665,False,560.146,64.9299097086893
Antinori Orvieto Clsc Campo,8881.82,42.359561441236146,False,560.146,64.9299097086893
Antinori Tenuta Marchese,21272.48,33.714921814475794,False,560.146,64.9299097086893
Antinori Tignanello,9115.970000000001,48.28273897347184,False,560.146,64.9299097086893
Antinori Toscana Rd,137534.81,41.00437554681611,False,560.146,64.9299097086893
Antinori Villa Chianti Class,31553.89,29.44781134750739,False,560.146,64.9299097086893
Antinori Villa Wh,29022.829999999998,36.739353123041404,False,560.146,64.9299097086893
Antiquary 12 Yr Old Scotch,134.94,24.23299244108493,False,560.146,64.9299097086893
Anton Bauer Gmork Rose,167.88,34.66761972837741,False,560.146,64.9299097086893
Apaltagua Envero Gran Rsv,750.5,8.892738174550301,False,560.146,64.9299097086893
Apaltagua Rose Carmenere,7671.02,30.4559237233119,False,560.146,64.9299097086893
Aperol Liqueur,118710.73999999999,31.68541447892583,False,560.146,64.9299097086893
Apimed Old Slavic Mead Dark,953.0999999999999,34.93862134088762,False,560.146,64.9299097086893
Apimed Old Slavic Mead Light,635.4,39.093484419263454,False,560.146,64.9299097086893
Apimed Slovak Mead,464.58,38.163502518403725,False,560.146,64.9299097086893
Apimed Trnava Mead,335.7,40.12511170688114,False,560.146,64.9299097086893
Apothic Crush,108390.36,21.474382039140753,False,560.146,64.9299097086893
Apothic Dark,243756.84,35.56915572092254,False,560.146,64.9299097086893
Apothic Inferno,47582.369999999995,34.6063468465316,False,560.146,64.9299097086893
Apothic Winemakers Red Blend,812899.38,36.57299135841387,False,560.146,64.9299097086893
Apothic Winemakers White,147400.08000000002,38.2769670138578,False,560.146,64.9299097086893
Apple Orchard Liqueur,2017.98,90.2090209020902,False,560.146,64.9299097086893
Appleton Est VX Jamaican Rum,48949.89,32.300910175691925,False,560.146,64.9299097086893
Appleton Estate Reserve Rum,49021.39,23.09157288277627,False,560.146,64.9299097086893
Appleton Special Gold Rum,154424.53999999998,30.686047063118004,False,560.146,64.9299097086893
Aquilon 06 Garnacha de Borja,629.93,90.60213039544075,False,560.146,64.9299097086893
Aquinas Cab Svgn,3592.35,90.42409564769581,False,560.146,64.9299097086893
Aquinas Napa Chard,643.54,85.31559809802033,False,560.146,64.9299097086893
Aquitania Cab Svgn,2526.42,7.556938276296106,False,560.146,64.9299097086893
Arabella Chard,131.88,33.75796178343949,False,560.146,64.9299097086893
Arak Razzouk,18801.449999999997,46.53805956455485,False,560.146,64.9299097086893
Arak-Gantous & Abouraad,23676.829999999998,28.14325228503985,False,560.146,64.9299097086893
Arca Nova Rose,263.76,31.028207461328485,False,560.146,64.9299097086893
Arca Nova Vinho Verde,55629.54,34.030444975816806,False,560.146,64.9299097086893
Archetype Shiraz/Cab Barossa,142.89,26.768843166071797,False,560.146,64.9299097086893
Ardbeg 10 Yr Single Malt Sc,139529.88,14.001961443670702,False,560.146,64.9299097086893
